country,customer_name,supplier_name
Argentina,Cactus Comidas para llevar,
Argentina,Océano Atlántico Ltda.,
Argentina,Rancho grande,
Austria,Piccolo und mehr,
Austria,Ernst Handel,
Belgium,Maison Dewey,
Belgium,Suprêmes délices,
Ireland,Hungry Owl All-Night Grocers,
Mexico,Ana Trujillo Emparedados y helados,
Mexico,Antonio Moreno Taquería,
Mexico,Centro comercial Moctezuma,
Mexico,Pericles Comidas clásicas,
Mexico,Tortuga Restaurante,
Poland,Wolski  Zajazd,
Portugal,Princesa Isabel Vinhos,
Portugal,Furia Bacalhau e Frutos do Mar,
Switzerland,Richter Supermarkt,
Switzerland,Chop-suey Chinese,
Venezuela,HILARION-Abastos,
Venezuela,GROSELLA-Restaurante,
Venezuela,LINO-Delicateses,
Venezuela,LILA-Supermercado,
,,"G'day, Mate"
,,"Pavlova, Ltd."
,,Leka Trading
,,Zaanse Snoepfabriek
,,Tokyo Traders
,,Mayumi's
